variant,image,time_block,arm,v1_t_m,v1_r_deg,lidar_only_t_m,lidar_only_r_deg,result_t_m,result_r_deg,v1_success,lidar_only_success,result_success,solver_called,solver_converged,nfev,residual_calls,lidar_support,camera_support,lidar_objective_before,lidar_objective_after,camera_scan_gt_t_m,camera_scan_gt_r_deg,camera_reference_result_t_m,camera_reference_result_r_deg
balanced,1329069272936767,22151154,oracle_matched_random,0.21228366606161284,1.038450647369272,0.19737677851233854,0.9844249627524165,0.20672947010111717,1.0876093360266081,True,True,True,True,True,7,49,176,11,0.12989038010933296,0.12963001301008234,0.0032317988325946097,0.0016380526662701147,0.20895889359623193,1.088955308130772
balanced,1329069273936858,22151154,lidar_only,0.24766389192741103,1.6707791409024404,0.24610798516007062,1.5081970193585559,0.24610798516007062,1.5081970193585559,True,True,True,True,True,8,56,139,0,0.10735262257073167,0.10320021101274769,0.0023619633053986334,0.008960238813656646,0.24714863227204156,1.5158758576474334
balanced,1329069273936858,22151154,prediction_full,0.24766389192741103,1.6707791409024404,0.24610798516007062,1.5081970193585559,0.25141861882837774,1.5117720508453074,True,True,True,True,True,8,56,139,24,0.10735262257073167,0.1032754516824146,0.0023619633053986334,0.008960238813656646,0.2524606729968821,1.5194728475190966
balanced,1329069273936858,22151154,prediction_common,0.24766389192741103,1.6707791409024404,0.24610798516007062,1.5081970193585559,0.26754810304899523,1.6315931157411447,True,True,True,True,True,8,56,139,42,0.10735262257073167,0.10452080432726232,0.0023619633053986334,0.008960238813656646,0.2686865647047283,1.6391831354565465
balanced,1329069273936858,22151154,oracle_prediction,0.24766389192741103,1.6707791409024404,0.24610798516007062,1.5081970193585559,0.23807615828003906,1.4747204767808253,True,True,True,True,True,8,56,139,26,0.10735262257073167,0.10914939562003091,0.0023619633053986334,0.008960238813656646,0.23892494623464788,1.48267765065506
balanced,1329069273936858,22151154,oracle_matched_random,0.24766389192741103,1.6707791409024404,0.24610798516007062,1.5081970193585559,0.2806787001960057,1.6663944610404184,True,True,True,True,True,8,56,139,9,0.10735262257073167,0.10851049442243833,0.0023619633053986334,0.008960238813656646,0.28195376165791336,1.6737797641100298
balanced,1329069274936948,22151154,lidar_only,0.23429237594619684,2.2493974464469435,0.1974561840791009,1.9983100985699895,0.1974561840791009,1.9983100985699895,False,True,True,True,True,8,56,161,0,0.1235667948699668,0.10602137501464853,0.002304284650386567,0.0020524215168179084,0.19912756715303984,1.9988156946682258
balanced,1329069274936948,22151154,prediction_full,0.23429237594619684,2.2493974464469435,0.1974561840791009,1.9983100985699895,0.20932990973285448,2.0590455157746494,False,True,False,True,True,8,56,161,31,0.1235667948699668,0.10637553841254939,0.002304284650386567,0.0020524215168179084,0.21099346286758008,2.05952983199289
balanced,1329069274936948,22151154,prediction_common,0.23429237594619684,2.2493974464469435,0.1974561840791009,1.9983100985699895,0.19234055333540045,1.9430639545791384,False,True,True,True,True,8,56,161,41,0.1235667948699668,0.10617469187556688,0.002304284650386567,0.0020524215168179084,0.19406262168364377,1.943518827688524
balanced,1329069274936948,22151154,oracle_prediction,0.23429237594619684,2.2493974464469435,0.1974561840791009,1.9983100985699895,0.15659117660564578,1.640757992276901,False,True,True,True,True,8,56,161,28,0.1235667948699668,0.11902087947074812,0.002304284650386567,0.0020524215168179084,0.1579823878950506,1.6411830797826825
